epoch,training_loss,validation_l2,validation_correlation,learning_rate
88,0.057626153603019245,0.05870467895889022,0.9695878625370812,2.9559615522887284e-05
89,0.05762899497024665,0.058696946038980825,0.9695929671792445,2.447174185242324e-05
90,0.057580001521370765,0.058638961657530984,0.9696215526826791,1.9853157161528526e-05
91,0.057564708152821935,0.05868829190675022,0.9695938851385586,1.570841943568452e-05
92,0.057516994897565746,0.05861694600663018,0.9696331113808729,1.204161903062634e-05
93,0.05754671098269336,0.058711671635860864,0.9695880271934587,8.85637463565564e-06
94,0.057540368318893184,0.05868488699961903,0.9696012741740573,6.155829702431171e-06
95,0.057511224343617995,0.05861050216342625,0.9696364220552509,3.942649342761118e-06
96,0.057490407748359465,0.05862267807036001,0.9696317992467456,2.2190176984600023e-06
97,0.057481626227381434,0.058647858357217,0.9696177327466367,9.866357858642206e-07
98,0.05747121291607225,0.058640893556103094,0.9696215735401301,2.467198171342e-07
99,0.057493440342514746,0.058653463626895344,0.9696153713065673,0.0
